Rank,Team,Rating,Month,Year
3,Australia,105,6,1984
4,England,104,6,1984
5,New Zealand,103,6,1984
6,Pakistan,86,6,1984
7,Sri Lanka,82,6,1984
1,West Indies,133,7,1984
2,India,108,7,1984
3,Australia,108,7,1984
4,England,104,7,1984
5,New Zealand,103,7,1984
6,Pakistan,86,7,1984
7,Sri Lanka,82,7,1984
1,West Indies,133,8,1984
2,Australia,111,8,1984
3,England,104,8,1984
4,India,104,8,1984
5,New Zealand,103,8,1984
6,Pakistan,86,8,1984
7,Sri Lanka,82,8,1984
1,West Indies,133,9,1984
2,Australia,113,9,1984
3,England,104,9,1984
4,New Zealand,98,9,1984
5,India,97,9,1984
6,Pakistan,91,9,1984
7,Sri Lanka,90,9,1984
1,West Indies,133,10,1984
2,Australia,113,10,1984
3,England,104,10,1984
4,New Zealand,97,10,1984
5,India,97,10,1984
6,Pakistan,94,10,1984
7,Sri Lanka,86,10,1984
1,West Indies,134,0,1985
2,Australia,112,0,1985
3,England,110,0,1985
4,Pakistan,97,0,1985
5,New Zealand,94,0,1985
6,India,92,0,1985
7,Sri Lanka,86,0,1985
1,West Indies,140,1,1985
2,England,110,1,1985
3,Australia,108,1,1985
4,New Zealand,99,1,1985
5,Pakistan,92,1,1985
6,India,92,1,1985
7,Sri Lanka,82,1,1985
1,West Indies,139,2,1985
2,Australia,109,2,1985
3,New Zealand,102,2,1985
4,England,101,2,1985
5,India,97,2,1985
6,Pakistan,94,2,1985
7,Sri Lanka,79,2,1985
1,West Indies,138,3,1985
2,India,107,3,1985
3,Australia,107,3,1985
4,New Zealand,98,3,1985
5,Pakistan,96,3,1985
6,England,96,3,1985
7,Sri Lanka,79,3,1985
1,West Indies,138,4,1985
2,Australia,108,4,1985
3,India,107,4,1985
4,New Zealand,97,4,1985
5,Pakistan,96,4,1985
6,England,94,4,1985
7,Sri Lanka,79,4,1985
1,West Indies,138,5,1985
2,Australia,109,5,1985
3,India,107,5,1985
4,New Zealand,97,5,1985
5,Pakistan,96,5,1985
6,England,93,5,1985
7,Sri Lanka,79,5,1985
1,West Indies,141,6,1985
2,Australia,111,6,1985
3,India,105,6,1985
4,Pakistan,95,6,1985
5,England,94,6,1985
6,New Zealand,93,6,1985
7,Sri Lanka,80,6,1985
1,West Indies,141,7,1985
2,Australia,111,7,1985
3,India,102,7,1985
4,Pakistan,95,7,1985
5,England,94,7,1985
6,New Zealand,93,7,1985
7,Sri Lanka,84,7,1985
1,West Indies,141,8,1985
2,Australia,111,8,1985
3,India,102,8,1985
4,Pakistan,98,8,1985
5,England,94,8,1985
6,New Zealand,93,8,1985
7,Sri Lanka,81,8,1985
1,West Indies,141,9,1985
2,Australia,111,9,1985
3,Pakistan,103,9,1985
4,India,102,9,1985
5,England,94,9,1985
6,New Zealand,93,9,1985
7,Sri Lanka,76,9,1985
1,West Indies,139,10,1985
2,Australia,111,10,1985
3,Pakistan,107,10,1985
4,India,98,10,1985
5,England,94,10,1985
6,New Zealand,93,10,1985
7,Sri Lanka,76,10,1985
1,West Indies,137,0,1986
2,Australia,111,0,1986
3,Pakistan,109,0,1986
4,India,101,0,1986
5,England,94,0,1986
6,New Zealand,90,0,1986
7,Sri Lanka,76,0,1986
1,West Indies,137,1,1986
2,Australia,111,1,1986
3,Pakistan,109,1,1986
4,India,100,1,1986
5,England,94,1,1986
6,New Zealand,91,1,1986
7,Sri Lanka,76,1,1986
1,West Indies,138,2,1986
2,Australia,114,2,1986
3,Pakistan,110,2,1986
4,India,97,2,1986
5,England,93,2,1986
6,New Zealand,91,2,1986
7,Sri Lanka,75,2,1986
1,West Indies,136,3,1986
2,Pakistan,111,3,1986
3,Australia,111,3,1986
4,England,98,3,1986
5,India,97,3,1986
6,New Zealand,95,3,1986
7,Sri Lanka,72,3,1986
1,West Indies,136,4,1986
2,Pakistan,113,4,1986
3,Australia,110,4,1986
4,India,100,4,1986
5,England,95,4,1986
6,New Zealand,91,4,1986
7,Sri Lanka,75,4,1986
1,West Indies,136,5,1986
2,Pakistan,113,5,1986
3,Australia,110,5,1986
4,India,98,5,1986
5,England,95,5,1986
6,New Zealand,93,5,1986
7,Sri Lanka,75,5,1986
1,West Indies,134,6,1986
2,Pakistan,120,6,1986
3,Australia,109,6,1986
4,India,97,6,1986
5,England,96,6,1986
6,New Zealand,91,6,1986
7,Sri Lanka,73,6,1986
1,West Indies,134,7,1986
2,Pakistan,120,7,1986
3,Australia,106,7,1986
4,India,100,7,1986
5,England,96,7,1986
6,New Zealand,91,7,1986
7,Sri Lanka,73,7,1986
1,West Indies,134,8,1986
2,Pakistan,120,8,1986
3,Australia,105,8,1986
4,India,100,8,1986
5,England,96,8,1986
6,New Zealand,91,8,1986
7,Sri Lanka,73,8,1986
1,West Indies,139,9,1986
2,Pakistan,117,9,1986
3,Australia,105,9,1986
4,India,101,9,1986
5,England,96,9,1986
6,New Zealand,91,9,1986
7,Sri Lanka,73,9,1986
1,West Indies,140,10,1986
2,Pakistan,117,10,1986
3,Australia,105,10,1986
4,India,101,10,1986
5,England,96,10,1986
6,New Zealand,91,10,1986
